id,Percentile_Rank,Rapid_Digit_Naming,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,84,29,13,56,59,FALSE,FALSE
,84,28,13,56,59,FALSE,FALSE
,91,27,14,56,59,FALSE,FALSE
,91,26,14,56,59,FALSE,FALSE
,91,25,14,56,59,FALSE,FALSE
,91,24,14,56,59,FALSE,FALSE
,91,23,14,56,59,FALSE,FALSE
,91,22,14,56,59,FALSE,FALSE
,91,21,14,56,59,FALSE,FALSE
,91,20,14,56,59,FALSE,FALSE
,95,19,15,56,59,FALSE,FALSE
,95,18,15,56,59,FALSE,FALSE
,95,17,15,56,59,FALSE,FALSE
,95,16,15,56,59,FALSE,FALSE
,95,15,15,56,59,FALSE,FALSE
,95,14,15,56,59,FALSE,FALSE
,95,13,15,56,59,FALSE,FALSE
,98,12,16,56,59,FALSE,FALSE
,99,11,17,56,59,FALSE,FALSE
,100,10,18,56,59,FALSE,FALSE
,100,9,19,56,59,FALSE,FALSE
,100,8,20,56,59,FALSE,TRUE
,0,90,1,66,71,TRUE,FALSE
,0,89,2,66,71,FALSE,FALSE
,0,88,2,66,71,FALSE,FALSE
,0,87,2,66,71,FALSE,FALSE
,0,86,2,66,71,FALSE,FALSE
,0,85,2,66,71,FALSE,FALSE
,1,84,3,66,71,FALSE,FALSE
,1,83,3,66,71,FALSE,FALSE
,1,82,3,66,71,FALSE,FALSE
,1,81,3,66,71,FALSE,FALSE
,1,80,3,66,71,FALSE,FALSE
,2,79,4,66,71,FALSE,FALSE
,2,78,4,66,71,FALSE,FALSE
,2,77,4,66,71,FALSE,FALSE
,2,76,4,66,71,FALSE,FALSE
,2,75,4,66,71,FALSE,FALSE
,5,74,5,66,71,FALSE,FALSE
,5,73,5,66,71,FALSE,FALSE
,5,72,5,66,71,FALSE,FALSE
,5,71,5,66,71,FALSE,FALSE
,5,70,5,66,71,FALSE,FALSE
,5,69,5,66,71,FALSE,FALSE
,9,68,6,66,71,FALSE,FALSE
,9,67,6,66,71,FALSE,FALSE
,9,66,6,66,71,FALSE,FALSE
,9,65,6,66,71,FALSE,FALSE
,16,64,7,66,71,FALSE,FALSE
,16,63,7,66,71,FALSE,FALSE
