id,Percentile_Rank,Blending_Nonwords,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,50,21,10,156,167,FALSE,FALSE
,63,22,11,156,167,FALSE,FALSE
,75,23,12,156,167,FALSE,FALSE
,84,24,13,156,167,FALSE,FALSE
,91,25,14,156,167,FALSE,FALSE
,95,26,15,156,167,FALSE,FALSE
,98,27,16,156,167,FALSE,FALSE
,99,28,17,156,167,FALSE,FALSE
,100,29,18,156,167,FALSE,FALSE
,100,30,19,156,167,TRUE,FALSE
,0,0,1,168,179,FALSE,TRUE
,0,1,1,168,179,FALSE,FALSE
,0,2,1,168,179,FALSE,FALSE
,0,3,1,168,179,FALSE,FALSE
,0,4,1,168,179,FALSE,FALSE
,0,5,1,168,179,FALSE,FALSE
,0,6,1,168,179,FALSE,FALSE
,0,7,1,168,179,FALSE,FALSE
,0,8,1,168,179,FALSE,FALSE
,0,9,1,168,179,FALSE,FALSE
,0,10,2,168,179,FALSE,FALSE
,0,11,2,168,179,FALSE,FALSE
,1,12,3,168,179,FALSE,FALSE
,2,13,4,168,179,FALSE,FALSE
,5,14,5,168,179,FALSE,FALSE
,9,15,6,168,179,FALSE,FALSE
,16,16,7,168,179,FALSE,FALSE
,16,17,7,168,179,FALSE,FALSE
,25,18,8,168,179,FALSE,FALSE
,37,19,9,168,179,FALSE,FALSE
,37,20,9,168,179,FALSE,FALSE
,50,21,10,168,179,FALSE,FALSE
,63,22,11,168,179,FALSE,FALSE
,63,23,11,168,179,FALSE,FALSE
,75,24,12,168,179,FALSE,FALSE
,84,25,13,168,179,FALSE,FALSE
,91,26,14,168,179,FALSE,FALSE
,95,27,15,168,179,FALSE,FALSE
,98,28,16,168,179,FALSE,FALSE
,99,29,17,168,179,FALSE,FALSE
,100,30,18,168,179,TRUE,FALSE
,0,0,1,180,299,FALSE,TRUE
,0,1,1,180,299,FALSE,FALSE
,0,2,1,180,299,FALSE,FALSE
,0,3,1,180,299,FALSE,FALSE
,0,4,1,180,299,FALSE,FALSE
,0,5,1,180,299,FALSE,FALSE
,0,6,1,180,299,FALSE,FALSE
,0,7,1,180,299,FALSE,FALSE
,0,8,1,180,299,FALSE,FALSE
,0,9,1,180,299,FALSE,FALSE
,0,10,2,180,299,FALSE,FALSE
,0,11,2,180,299,FALSE,FALSE
,1,12,3,180,299,FALSE,FALSE
,2,13,4,180,299,FALSE,FALSE
,5,14,5,180,299,FALSE,FALSE
,9,15,6,180,299,FALSE,FALSE
,16,16,7,180,299,FALSE,FALSE
,16,17,7,180,299,FALSE,FALSE
,25,18,8,180,299,FALSE,FALSE
,37,19,9,180,299,FALSE,FALSE
,37,20,9,180,299,FALSE,FALSE
,50,21,10,180,299,FALSE,FALSE
,63,22,11,180,299,FALSE,FALSE
,63,23,11,180,299,FALSE,FALSE
,75,24,12,180,299,FALSE,FALSE
,84,25,13,180,299,FALSE,FALSE
,91,26,14,180,299,FALSE,FALSE
,95,27,15,180,299,FALSE,FALSE
,98,28,16,180,299,FALSE,FALSE
,99,29,17,180,299,FALSE,FALSE
,100,30,18,180,299,TRUE,FALSE
