id,percentiile_Rank,Elision,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,0,9,1,180,299,FALSE,FALSE
,0,10,1,180,299,FALSE,FALSE
,0,11,2,180,299,FALSE,FALSE
,0,12,2,180,299,FALSE,FALSE
,1,13,3,180,299,FALSE,FALSE
,2,14,4,180,299,FALSE,FALSE
,2,15,4,180,299,FALSE,FALSE
,2,16,4,180,299,FALSE,FALSE
,2,17,4,180,299,FALSE,FALSE
,2,18,4,180,299,FALSE,FALSE
,5,19,5,180,299,FALSE,FALSE
,5,20,5,180,299,FALSE,FALSE
,5,21,5,180,299,FALSE,FALSE
,9,22,6,180,299,FALSE,FALSE
,9,23,6,180,299,FALSE,FALSE
,16,24,7,180,299,FALSE,FALSE
,25,25,8,180,299,FALSE,FALSE
,25,26,8,180,299,FALSE,FALSE
,25,27,8,180,299,FALSE,FALSE
,37,28,9,180,299,FALSE,FALSE
,37,29,9,180,299,FALSE,FALSE
,50,30,10,180,299,FALSE,FALSE
,50,31,10,180,299,FALSE,FALSE
,63,32,11,180,299,FALSE,FALSE
,75,33,12,180,299,FALSE,FALSE
,84,34,13,180,299,TRUE,FALSE
