id,Percentile_Rank,Phoneme_Isolation,Scaled_Score,Min_Months,Max_Months,is_min,is_max
,5,12,5,96,107,FALSE,FALSE
,5,13,5,96,107,FALSE,FALSE
,5,14,5,96,107,FALSE,FALSE
,5,15,5,96,107,FALSE,FALSE
,9,16,6,96,107,FALSE,FALSE
,9,17,6,96,107,FALSE,FALSE
,9,18,6,96,107,FALSE,FALSE
,9,19,6,96,107,FALSE,FALSE
,16,20,7,96,107,FALSE,FALSE
,16,21,7,96,107,FALSE,FALSE
,16,22,7,96,107,FALSE,FALSE
,16,23,7,96,107,FALSE,FALSE
,25,24,8,96,107,FALSE,FALSE
,37,25,9,96,107,FALSE,FALSE
,37,26,9,96,107,FALSE,FALSE
,50,27,10,96,107,FALSE,FALSE
,63,28,11,96,107,FALSE,FALSE
,75,29,12,96,107,FALSE,FALSE
,84,30,13,96,107,FALSE,FALSE
,91,31,14,96,107,FALSE,FALSE
,95,32,15,96,107,FALSE,TRUE
,0,0,1,108,119,TRUE,FALSE
,0,1,1,108,119,FALSE,FALSE
,0,2,1,108,119,FALSE,FALSE
,0,3,2,108,119,FALSE,FALSE
,0,4,2,108,119,FALSE,FALSE
,0,5,2,108,119,FALSE,FALSE
,1,6,3,108,119,FALSE,FALSE
,1,7,3,108,119,FALSE,FALSE
,1,8,3,108,119,FALSE,FALSE
,1,9,3,108,119,FALSE,FALSE
,1,10,3,108,119,FALSE,FALSE
,2,11,4,108,119,FALSE,FALSE
,2,12,4,108,119,FALSE,FALSE
,2,13,4,108,119,FALSE,FALSE
,2,14,4,108,119,FALSE,FALSE
,2,15,4,108,119,FALSE,FALSE
,5,16,5,108,119,FALSE,FALSE
,5,17,5,108,119,FALSE,FALSE
,5,18,5,108,119,FALSE,FALSE
,5,19,5,108,119,FALSE,FALSE
,9,20,6,108,119,FALSE,FALSE
,9,21,6,108,119,FALSE,FALSE
,16,22,7,108,119,FALSE,FALSE
,16,23,7,108,119,FALSE,FALSE
,25,24,8,108,119,FALSE,FALSE
,37,25,9,108,119,FALSE,FALSE
,37,26,9,108,119,FALSE,FALSE
,50,27,10,108,119,FALSE,FALSE
,63,28,11,108,119,FALSE,FALSE
,75,29,12,108,119,FALSE,FALSE
,84,30,13,108,119,FALSE,FALSE
,91,31,14,108,119,FALSE,FALSE
,95,32,15,108,119,FALSE,TRUE
,0,0,1,120,131,TRUE,FALSE
,0,1,1,120,131,FALSE,FALSE
,0,2,1,120,131,FALSE,FALSE
,0,3,2,120,131,FALSE,FALSE
,0,4,2,120,131,FALSE,FALSE
,0,5,2,120,131,FALSE,FALSE
,1,6,3,120,131,FALSE,FALSE
,1,7,3,120,131,FALSE,FALSE
,1,8,3,120,131,FALSE,FALSE
,1,9,3,120,131,FALSE,FALSE
,1,10,3,120,131,FALSE,FALSE
,2,11,4,120,131,FALSE,FALSE
,2,12,4,120,131,FALSE,FALSE
,2,13,4,120,131,FALSE,FALSE
,2,14,4,120,131,FALSE,FALSE
,2,15,4,120,131,FALSE,FALSE
,5,16,5,120,131,FALSE,FALSE
,5,17,5,120,131,FALSE,FALSE
,5,18,5,120,131,FALSE,FALSE
,5,19,5,120,131,FALSE,FALSE
,9,20,6,120,131,FALSE,FALSE
,9,21,6,120,131,FALSE,FALSE
,16,22,7,120,131,FALSE,FALSE
,16,23,7,120,131,FALSE,FALSE
,25,24,8,120,131,FALSE,FALSE
,37,25,9,120,131,FALSE,FALSE
,37,26,9,120,131,FALSE,FALSE
,50,27,10,120,131,FALSE,FALSE
,63,28,11,120,131,FALSE,FALSE
,75,29,12,120,131,FALSE,FALSE
,84,30,13,120,131,FALSE,FALSE
,91,31,14,120,131,FALSE,FALSE
,95,32,15,120,131,FALSE,TRUE
,0,0,1,132,143,TRUE,FALSE
,0,1,1,132,143,FALSE,FALSE
,0,2,1,132,143,FALSE,FALSE
,0,3,2,132,143,FALSE,FALSE
,0,4,2,132,143,FALSE,FALSE
,0,5,2,132,143,FALSE,FALSE
,1,6,3,132,143,FALSE,FALSE
,1,7,3,132,143,FALSE,FALSE
,1,8,3,132,143,FALSE,FALSE
,1,9,3,132,143,FALSE,FALSE
,1,10,3,132,143,FALSE,FALSE
,2,11,4,132,143,FALSE,FALSE
,2,12,4,132,143,FALSE,FALSE
,2,13,4,132,143,FALSE,FALSE
,2,14,4,132,143,FALSE,FALSE
,2,15,4,132,143,FALSE,FALSE
,5,16,5,132,143,FALSE,FALSE
,5,17,5,132,143,FALSE,FALSE
,5,18,5,132,143,FALSE,FALSE
,5,19,5,132,143,FALSE,FALSE
,9,20,6,132,143,FALSE,FALSE
,9,21,6,132,143,FALSE,FALSE
,16,22,7,132,143,FALSE,FALSE
,16,23,7,132,143,FALSE,FALSE
,25,24,8,132,143,FALSE,FALSE
,37,25,9,132,143,FALSE,FALSE
,37,26,9,132,143,FALSE,FALSE
,50,27,10,132,143,FALSE,FALSE
,63,28,11,132,143,FALSE,FALSE
