id,Percentile_Rank,Rapid_Letter_Naming,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,16,94,7,56,59,FALSE,FALSE
,16,93,7,56,59,FALSE,FALSE
,16,92,7,56,59,FALSE,FALSE
,16,91,7,56,59,FALSE,FALSE
,16,90,7,56,59,FALSE,FALSE
,16,89,7,56,59,FALSE,FALSE
,16,88,7,56,59,FALSE,FALSE
,16,87,7,56,59,FALSE,FALSE
,25,86,8,56,59,FALSE,FALSE
,25,85,8,56,59,FALSE,FALSE
,25,84,8,56,59,FALSE,FALSE
,25,83,8,56,59,FALSE,FALSE
,25,82,8,56,59,FALSE,FALSE
,25,81,8,56,59,FALSE,FALSE
,25,80,8,56,59,FALSE,FALSE
,25,79,8,56,59,FALSE,FALSE
,37,78,9,56,59,FALSE,FALSE
,37,77,9,56,59,FALSE,FALSE
,37,76,9,56,59,FALSE,FALSE
,37,75,9,56,59,FALSE,FALSE
,37,74,9,56,59,FALSE,FALSE
,37,73,9,56,59,FALSE,FALSE
,37,72,9,56,59,FALSE,FALSE
,37,71,9,56,59,FALSE,FALSE
,50,70,10,56,59,FALSE,FALSE
,50,69,10,56,59,FALSE,FALSE
,50,68,10,56,59,FALSE,FALSE
,50,67,10,56,59,FALSE,FALSE
,50,66,10,56,59,FALSE,FALSE
,50,65,10,56,59,FALSE,FALSE
,50,64,10,56,59,FALSE,FALSE
,50,63,10,56,59,FALSE,FALSE
,63,62,11,56,59,FALSE,FALSE
,63,61,11,56,59,FALSE,FALSE
,63,60,11,56,59,FALSE,FALSE
,63,59,11,56,59,FALSE,FALSE
,63,58,11,56,59,FALSE,FALSE
,63,57,11,56,59,FALSE,FALSE
,63,56,11,56,59,FALSE,FALSE
,63,55,11,56,59,FALSE,FALSE
,63,54,11,56,59,FALSE,FALSE
,75,53,12,56,59,FALSE,FALSE
,75,52,12,56,59,FALSE,FALSE
,75,51,12,56,59,FALSE,FALSE
,75,50,12,56,59,FALSE,FALSE
,75,49,12,56,59,FALSE,FALSE
,75,48,12,56,59,FALSE,FALSE
,75,47,12,56,59,FALSE,FALSE
,75,46,12,56,59,FALSE,FALSE
,84,45,13,56,59,FALSE,FALSE
,84,44,13,56,59,FALSE,FALSE
,84,43,13,56,59,FALSE,FALSE
,84,42,13,56,59,FALSE,FALSE
,84,41,13,56,59,FALSE,FALSE
,84,40,13,56,59,FALSE,FALSE
,84,39,13,56,59,FALSE,FALSE
,84,38,13,56,59,FALSE,FALSE
,84,37,13,56,59,FALSE,FALSE
,84,36,13,56,59,FALSE,FALSE
,84,35,13,56,59,FALSE,FALSE
,91,34,14,56,59,FALSE,FALSE
,91,33,14,56,59,FALSE,FALSE
,91,32,14,56,59,FALSE,FALSE
,91,31,14,56,59,FALSE,FALSE
,91,30,14,56,59,FALSE,FALSE
,91,29,14,56,59,FALSE,FALSE
,91,28,14,56,59,FALSE,FALSE
,91,27,14,56,59,FALSE,FALSE
,95,26,15,56,59,FALSE,FALSE
,95,25,15,56,59,FALSE,FALSE
,95,24,15,56,59,FALSE,FALSE
,95,23,15,56,59,FALSE,FALSE
,95,22,15,56,59,FALSE,FALSE
,95,21,15,56,59,FALSE,FALSE
,95,20,15,56,59,FALSE,FALSE
,98,19,16,56,59,FALSE,FALSE
,98,18,16,56,59,FALSE,FALSE
,98,17,16,56,59,FALSE,FALSE
,98,16,16,56,59,FALSE,FALSE
,98,15,16,56,59,FALSE,FALSE
,99,14,17,56,59,FALSE,FALSE
,100,13,18,56,59,FALSE,FALSE
,100,12,19,56,59,FALSE,FALSE
,100,11,20,56,59,FALSE,TRUE
,0,118,2,66,71,TRUE,FALSE
,1,117,3,66,71,FALSE,FALSE
,1,116,3,66,71,FALSE,FALSE
,1,115,3,66,71,FALSE,FALSE
,1,114,3,66,71,FALSE,FALSE
,1,113,3,66,71,FALSE,FALSE
,1,112,3,66,71,FALSE,FALSE
,1,111,3,66,71,FALSE,FALSE
,1,110,3,66,71,FALSE,FALSE
,1,109,3,66,71,FALSE,FALSE
,2,108,4,66,71,FALSE,FALSE
,2,107,4,66,71,FALSE,FALSE
,2,106,4,66,71,FALSE,FALSE
,2,105,4,66,71,FALSE,FALSE
,2,104,4,66,71,FALSE,FALSE
,2,103,4,66,71,FALSE,FALSE
,2,102,4,66,71,FALSE,FALSE
,2,101,4,66,71,FALSE,FALSE
,2,100,4,66,71,FALSE,FALSE
,2,99,4,66,71,FALSE,FALSE
,2,98,4,66,71,FALSE,FALSE
,2,97,4,66,71,FALSE,FALSE
,2,96,4,66,71,FALSE,FALSE
,2,95,4,66,71,FALSE,FALSE
,5,94,5,66,71,FALSE,FALSE
,5,93,5,66,71,FALSE,FALSE
,5,92,5,66,71,FALSE,FALSE
,5,91,5,66,71,FALSE,FALSE
,5,90,5,66,71,FALSE,FALSE
,5,89,5,66,71,FALSE,FALSE
,5,88,5,66,71,FALSE,FALSE
,5,87,5,66,71,FALSE,FALSE
,9,86,6,66,71,FALSE,FALSE
,9,85,6,66,71,FALSE,FALSE
,9,84,6,66,71,FALSE,FALSE
,9,83,6,66,71,FALSE,FALSE
,9,82,6,66,71,FALSE,FALSE
,9,81,6,66,71,FALSE,FALSE
,9,80,6,66,71,FALSE,FALSE
,9,79,6,66,71,FALSE,FALSE
,16,78,7,66,71,FALSE,FALSE
,16,77,7,66,71,FALSE,FALSE
,16,76,7,66,71,FALSE,FALSE
,16,75,7,66,71,FALSE,FALSE
,16,74,7,66,71,FALSE,FALSE
,16,73,7,66,71,FALSE,FALSE
,16,72,7,66,71,FALSE,FALSE
,16,71,7,66,71,FALSE,FALSE
,25,70,8,66,71,FALSE,FALSE
,25,69,8,66,71,FALSE,FALSE
,25,68,8,66,71,FALSE,FALSE
,25,67,8,66,71,FALSE,FALSE
,25,66,8,66,71,FALSE,FALSE
,25,65,8,66,71,FALSE,FALSE
,37,64,9,66,71,FALSE,FALSE
,37,63,9,66,71,FALSE,FALSE
,37,62,9,66,71,FALSE,FALSE
,37,61,9,66,71,FALSE,FALSE
,37,60,9,66,71,FALSE,FALSE
,37,59,9,66,71,FALSE,FALSE
,37,58,9,66,71,FALSE,FALSE
,37,57,9,66,71,FALSE,FALSE
,37,56,9,66,71,FALSE,FALSE
,37,55,9,66,71,FALSE,FALSE
,50,54,10,66,71,FALSE,FALSE
,50,53,10,66,71,FALSE,FALSE
,50,52,10,66,71,FALSE,FALSE
,50,51,10,66,71,FALSE,FALSE
,50,50,10,66,71,FALSE,FALSE
,50,49,10,66,71,FALSE,FALSE
,50,48,10,66,71,FALSE,FALSE
,50,47,10,66,71,FALSE,FALSE
,50,46,10,66,71,FALSE,FALSE
,50,45,10,66,71,FALSE,FALSE
,63,44,11,66,71,FALSE,FALSE
,63,43,11,66,71,FALSE,FALSE
,63,42,11,66,71,FALSE,FALSE
,63,41,11,66,71,FALSE,FALSE
,63,40,11,66,71,FALSE,FALSE
,63,39,11,66,71,FALSE,FALSE
,63,38,11,66,71,FALSE,FALSE
,63,37,11,66,71,FALSE,FALSE
,63,36,11,66,71,FALSE,FALSE
,63,35,11,66,71,FALSE,FALSE
,75,34,12,66,71,FALSE,FALSE
,75,33,12,66,71,FALSE,FALSE
,75,32,12,66,71,FALSE,FALSE
,75,31,12,66,71,FALSE,FALSE
,75,30,12,66,71,FALSE,FALSE
,75,29,12,66,71,FALSE,FALSE
,75,28,12,66,71,FALSE,FALSE
,75,27,12,66,71,FALSE,FALSE
,84,26,13,66,71,FALSE,FALSE
,84,25,13,66,71,FALSE,FALSE
,84,24,13,66,71,FALSE,FALSE
,84,23,13,66,71,FALSE,FALSE
,84,22,13,66,71,FALSE,FALSE
,91,21,14,66,71,FALSE,FALSE
,91,20,14,66,71,FALSE,FALSE
,91,19,14,66,71,FALSE,FALSE
,91,18,14,66,71,FALSE,FALSE
,91,17,14,66,71,FALSE,FALSE
,91,16,14,66,71,FALSE,FALSE
,91,15,14,66,71,FALSE,FALSE
,95,14,15,66,71,FALSE,FALSE
,98,13,16,66,71,FALSE,FALSE
,99,12,17,66,71,FALSE,FALSE
,100,11,18,66,71,FALSE,FALSE
